ca cancer j clin,286.13
lancet,202.731
new engl j med,176.079
jama-j am med assoc,157.335
nat rev mol cell biol,113.915
nat rev drug discov,112.288
nat rev immunol,108.555
lancet respir med,102.642
bmj,93.333
nat med,87.241
lancet microbe,86.208
world psychiatry,79.683
nat rev microbiol,78.297
lancet psychiatry,77.056
nat rev mater,76.679
nat rev gastroenterol hepatol,73.082
lancet public health,72.427
chem rev,72.087
lancet infect dis,71.421
nat rev cancer,69.8
nature,69.504
nat biotechnol,68.164
nat energy,67.439
cell,66.85
nat rev dis primers,65.038
nat rev clin oncol,65.011
science,63.714
chem soc rev,60.615
lancet neurol,59.935
nat rev genet,59.581
psychol sci public interest,56.2
lancet oncol,54.433
ann oncol,51.769
ann intern med,51.598
j clin oncol,50.717
rev mod phys,50.485
clin microbiol rev,50.129
nat rev cardiol,49.421
prog mater sci,48.165
nat methods,47.99
nat mater,47.656
nat rev endocrinol,47.564
physiol rev,46.5
cell res,46.297
joule,46.048
lancet gastroenterol hepatol,45.042
lancet diabetes endocrinol,44.867
nat rev neurol,44.711
jama intern med,44.409
immunity,43.474
living rev relativ,42.9
nat rev nephrol,42.439
intens care med,41.787
mol cancer,41.444
nat genet,41.307
nat catal,40.706
nat nanotechnol,40.523
circulation,39.918
nat photonics,39.728
energy environ sci,39.714
j travel med,39.194
lancet glob health,38.927
nat rev neurosci,38.755
j infection,38.637
cancer cell,38.585
cancer discov,38.272
signal transduct target ther,38.104
cell discov,38.079
lancet child adolesc health,37.746
j public trans,37.667
annu rev astron astrophys,37.226
nat rev earth environ,37.214
lancet digit health,36.615
mmwr recomm rep,36.286
nat rev phys,36.273
eur heart j,35.855
astron astrophys rev,35.786
lancet rheumatol,35.482
prog energy combust sci,35.339
mmwr-morbid mortal w,35.301
mil med res,34.915
nat rev chem,34.571
gastroenterology,33.883
ieee commun surv tut,33.84
eur respir j,33.795
mater sci eng r rep,33.667
nat electron,33.255
jama oncol,33.006
electrochem energy r,32.804
annu rev immunol,32.481
annu rev pathol-mech,32.35
nat rev rheumatol,32.286
adv mater,32.086
gut,31.793
cell metab,31.373
cell host microbe,31.316
prog polym sci,31.281
nat immunol,31.25
nat microbiol,30.964
sci immunol,30.63
am j respir crit care med,30.528
phys rep,30.51
jama cardiol,30.154
lancet haematol,30.153
j hepatol,30.083
jama neurol,29.907
adv energy mater,29.698
nat biomed eng,29.234
radiology,29.146
mmwr surveill summ,29.095
nat neurosci,28.771
lancet planet health,28.75
living rev sol phys,28.7
nat clim chang,28.66
annu rev plant biol,28.31
nat cell bio ####,28.213
ann rheum dis,27.973
annu rev psychol,27.782
sci robot,27.541
annu rev biochem,27.258
j am coll cardiol,27.203
nat sustain,27.157
dialogues hum geogr,27
mater today,26.943
jama pediatr,26.796
jama psychiatry,25.911
nat mach intell,25.898
chem-us,25.832
stud mycol,25.731
psychother psychosom,25.617
blood,25.476
annu rev fluid mech,25.293
cell stem cell,25.269
endocr rev,25.261
rev geophys,24.946
fungal divers,24.902
int j oral sci,24.897
coord chem rev,24.833
infomat,24.798
adv opt photonics,24.75
trends cogn sci,24.482
acc chem res,24.466
appl catal b environ,24.319
ieee trans pattern anal mach intell,24.314
nat chem,24.274
eur urol,24.267
nat hum behav,24.252
acs energy lett,23.991
annu rev condens matter phys,23.978
adv phys,23.75
nanomicro lett,23.655
circ res,23.213
natl sci rev,23.178
nat cancer,23.177
j hematol oncol,23.168
psychol bull,23.027
drug resist updat,22.841
annu rev entomol,22.682
trends chem,22.448
annu rev physiol,22.163
annu rev clin psychol,22.098
cell mol immunol,22.096
trends plant sci,22.012
mol plant,21.949
trends biotechnol,21.942
annu rev public health,21.87
nat geosci,21.531
behav brain sci,21.357
euro surveill,21.286
trends cell biol,21.167
clin infect dis,20.999
energy storage mater,20.831
j med virol,20.693
trends ecol evol,20.589
sci bull,20.577
travel med infect dis,20.441
nat food,20.43
light sci appl,20.257
j thorac oncol,20.121
matter-us,19.967
adv funct mater,19.924
nat metab,19.865
photonix,19.818
annu rev biophys,19.763
trends immunol,19.709
prog retin eye res,19.704
nat phys,19.684
emerg microbes infect,19.568
appl phys rev,19.527
j clin invest,19.456
crit care,19.334
mol cell,19.328
sci transl med ####,19.319
am j psychiatry,19.242
